20251208 081500;25791.25;25793.5;25789.25;25791.75;223
20251208 081600;25792;25795.5;25790.5;25791.25;246
20251208 081700;25792.25;25802.75;25792.25;25800;439
20251208 081800;25800;25804;25798.75;25799.75;334
20251208 081900;25799.25;25800.75;25795.25;25795.75;402
20251208 082000;25795;25797.25;25791;25791.5;428
20251208 082100;25791.25;25795.25;25787.25;25795.25;363
20251208 082200;25794.75;25800.75;25794.75;25798;295
20251208 082300;25798.25;25801.25;25794;25800.75;288
20251208 082400;25801;25801.75;25798;25799.5;155
20251208 082500;25800.25;25800.5;25795;25796.25;152
20251208 082600;25797;25797.75;25790;25790.25;184
20251208 082700;25790;25791.25;25781.25;25786.75;787
20251208 082800;25786.5;25793;25786.25;25790;224
20251208 082900;25789.25;25790;25783.75;25787.25;234
20251208 083000;25787;25789.5;25782.75;25784.5;277
20251208 083100;25784.75;25789;25782.75;25788.25;235
20251208 083200;25787.75;25788.25;25779;25781.25;352
20251208 083300;25781;25786;25776;25786;607
20251208 083400;25785.25;25788.75;25782.75;25786.25;347
20251208 083500;25786.5;25787;25780.5;25784;213
20251208 083600;25784.75;25788;25783.75;25785.75;168
20251208 083700;25785.5;25785.75;25781.25;25782;205
20251208 083800;25782.5;25785.75;25781;25784.25;143
20251208 083900;25783.5;25792;25783.5;25791.25;314
20251208 084000;25790.25;25793.25;25788.25;25791.25;313
20251208 084100;25790.75;25792.75;25787.25;25788.5;228
20251208 084200;25787.5;25789;25782.75;25782.75;240
20251208 084300;25782.5;25785;25779;25781.25;318
20251208 084400;25781;25783.5;25778.5;25780.75;322
20251208 084500;25780.25;25783.25;25780.25;25782;108
20251208 084600;25782;25783;25774.5;25778.5;497
20251208 084700;25777.75;25779.5;25775.75;25777.25;182
20251208 084800;25777;25782;25774.75;25781.75;266
20251208 084900;25781.25;25782.5;25778;25779;194
20251208 085000;25779;25779.25;25773;25775.25;255
20251208 085100;25774.75;25775;25768.25;25771.25;763
20251208 085200;25771;25774.25;25770;25770.75;259
20251208 085300;25770.75;25774.5;25769;25774.25;260
20251208 085400;25773.25;25777.75;25773.25;25776;251
20251208 085500;25775.25;25778.25;25771.75;25778.25;267
20251208 085600;25777.25;25780.75;25777;25780.25;319
20251208 085700;25779.75;25780;25773;25776;248
20251208 085800;25776.5;25779;25775.5;25775.5;135
20251208 085900;25775.25;25778.25;25773.75;25775;195
20251208 090000;25776.25;25778;25773.75;25774.25;125
20251208 090100;25774;25779.5;25773.5;25775;327
20251208 090200;25775.5;25776.5;25772;25776.25;289
20251208 090300;25776.25;25779.25;25774.75;25777.75;222
20251208 090400;25777.25;25780;25776.25;25776.25;180
20251208 090500;25776.5;25781.75;25774.75;25776.25;254
20251208 090600;25776.25;25785.5;25776.25;25784.25;425
20251208 090700;25784;25786.25;25779.5;25783;354
20251208 090800;25782.75;25786.5;25782.75;25784.75;285
20251208 090900;25784;25787.25;25783.5;25787;199
20251208 091000;25786.5;25788;25783.25;25786;273
20251208 091100;25785.5;25788.5;25783;25785;289
20251208 091200;25784.75;25786.5;25782.25;25785.5;179
20251208 091300;25785.25;25787;25783.75;25786.75;82
20251208 091400;25786.75;25790.75;25785.25;25789;277
20251208 091500;25789.75;25790;25787;25789.25;152
20251208 091600;25789;25789;25784.5;25786.5;181
20251208 091700;25786.25;25788.5;25781;25781.5;270
20251208 091800;25781.5;25783.75;25777.75;25783.75;370
20251208 091900;25783.75;25785.25;25782.25;25783.5;105
20251208 092000;25784;25787;25781.75;25787;130
20251208 092100;25787;25791.5;25786.5;25790.25;335
20251208 092200;25789.75;25791.5;25788.75;25789.5;186
20251208 092300;25789;25792;25784.75;25791.25;229
20251208 092400;25791;25791;25787.25;25790.25;126
20251208 092500;25789.5;25792;25788;25788.75;206
20251208 092600;25788.25;25791.25;25788;25791.25;120
20251208 092700;25791.5;25795;25791;25793;445
20251208 092800;25792.75;25795.5;25788.5;25794.25;415
20251208 092900;25794;25797.25;25791.25;25791.25;342
20251208 093000;25792;25795.75;25791.5;25793.75;154
20251208 093100;25794.5;25796.25;25792.25;25793.25;209
20251208 093200;25793;25795.5;25790.5;25792.5;165
20251208 093300;25792.5;25796;25792.5;25794.25;202
20251208 093400;25794.25;25797.75;25791.5;25793.25;220
20251208 093500;25793.25;25795;25791.5;25793.5;161
20251208 093600;25794.5;25796.5;25786.5;25788.25;496
20251208 093700;25788.5;25790.25;25784.25;25790.25;386
20251208 093800;25789.75;25791.25;25788;25790;188
20251208 093900;25789.5;25790.75;25787.5;25789;129
20251208 094000;25789.25;25793.25;25787;25793;202
20251208 094100;25793;25794;25786.75;25787;270
20251208 094200;25788;25789.75;25787;25787.75;101
20251208 094300;25788;25788.75;25784.25;25784.25;197
20251208 094400;25784.5;25784.5;25778.25;25781.5;646
20251208 094500;25780.75;25783.5;25780.75;25781.25;180
20251208 094600;25780.75;25781.25;25774.75;25775.5;342
20251208 094700;25775;25777.75;25768.5;25776.25;642
20251208 094800;25774.75;25779.75;25773.5;25776.25;232
20251208 094900;25776;25776.75;25772;25773.75;210
20251208 095000;25774;25776.25;25772.75;25772.75;184
20251208 095100;25773.25;25780.25;25772;25777.75;361
20251208 095200;25777;25779.25;25776.75;25778;186
20251208 095300;25776.75;25779;25776.25;25779;122
20251208 095400;25780;25784;25778.75;25779.75;306
20251208 095500;25779;25782.25;25778.25;25779.5;128
20251208 095600;25779.25;25779.25;25775.25;25777.5;199
20251208 095700;25777.5;25781;25776;25777.5;199
20251208 095800;25777.75;25778.75;25774.25;25777;156
20251208 095900;25777;25777.25;25771.75;25774.25;244
20251208 100000;25774.25;25775.25;25769;25774;367
